date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:24:11	158/158	---MC-	302	error ('Found')	text/html	date:Fri,%2017%20Nov%202023%2021:54:12%20GMT	https://jolly-country-club.gitbook.io/robots.txt		(from )
03:24:14	208476/208476	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Nov%202023%2021:54:15%20GMT	https://jolly-country-club.gitbook.io/superwave/	E:/Gitbook_sites/superwave/jolly-country-club.gitbook.io/superwave/index.html	(from )
03:24:15	121585/121585	---M--	200	added ('OK')	image/png	etag:%22ddeffe91c1825f3d4dcd82d40dc79495%22	https://1513745211-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FFrYV48PYYD7H81tAX1Ms%2Ficon%2FNrsHZkoDVxyIugU170Mq%2Fsuperwave-logo.png?alt=media&token=d31cb2b4-5fbf-4a30-a16b-3456c5ba9ca5	E:/Gitbook_sites/superwave/1513745211-files.gitbook.io/_/files/v0/b/gitbook-x-prod.appspot.com/o/spaces/FrYV48PYYD7H81tAX1Ms/icon/NrsHZkoDVxyIugU170Mq/superwave-logof071.png	(from https://jolly-country-club.gitbook.io/superwave/)
03:24:15	697931/697931	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a046a26972b088703a9310aa96ed3a01%22	https://app.gitbook.com/public/app/public-QTBYFYII.min.js?v=10.9.490-6b31038617a91a284dd43377f722a8c2da00b050-6903900348	E:/Gitbook_sites/superwave/app.gitbook.com/public/app/public-QTBYFYII.min0fc9.js	(from https://jolly-country-club.gitbook.io/superwave/)
03:24:16	146414/146414	---MCZ	200	added ('OK')	text/css	etag:W/%22c531cbb7778d8ebf5bcb9563f66ce399%22	https://app.gitbook.com/public/app/public-3QVJF4TF.css?v=10.9.490-6b31038617a91a284dd43377f722a8c2da00b050-6903900348	E:/Gitbook_sites/superwave/app.gitbook.com/public/app/public-3QVJF4TF0fc9.css	(from https://jolly-country-club.gitbook.io/superwave/)
03:24:17	24653/24653	---MCZ	200	added ('OK')	application/javascript	etag:W/%226509aac5-604d%22	https://cdn.iframe.ly/embed.js	E:/Gitbook_sites/superwave/cdn.iframe.ly/embed.js	(from https://jolly-country-club.gitbook.io/superwave/)
03:24:17	242/242	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2017%20Nov%202023%2021:54:18%20GMT	https://cdn.polyfill.io/v2/polyfill.js?features=Intl.~locale.en	E:/Gitbook_sites/superwave/cdn.polyfill.io/v2/polyfill8a7a.js	(from https://jolly-country-club.gitbook.io/superwave/)
03:24:21	379100/379100	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Nov%202023%2021:54:21%20GMT	https://jolly-country-club.gitbook.io/superwave/users-manual/1.-introduction-to-best-practices	E:/Gitbook_sites/superwave/jolly-country-club.gitbook.io/superwave/users-manual/1.html	(from https://jolly-country-club.gitbook.io/superwave/)
03:24:23	328101/328101	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Nov%202023%2021:54:24%20GMT	https://jolly-country-club.gitbook.io/superwave/users-manual/2.-integrating-a-domain-into-superwave	E:/Gitbook_sites/superwave/jolly-country-club.gitbook.io/superwave/users-manual/2.html	(from https://jolly-country-club.gitbook.io/superwave/)
03:24:25	296208/296208	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Nov%202023%2021:54:26%20GMT	https://jolly-country-club.gitbook.io/superwave/users-manual/3.-submitting-your-email-addresses	E:/Gitbook_sites/superwave/jolly-country-club.gitbook.io/superwave/users-manual/3.html	(from https://jolly-country-club.gitbook.io/superwave/)
03:24:28	282166/282166	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Nov%202023%2021:54:29%20GMT	https://jolly-country-club.gitbook.io/superwave/users-manual/4.-the-importance-of-writing-proper-emails	E:/Gitbook_sites/superwave/jolly-country-club.gitbook.io/superwave/users-manual/4.html	(from https://jolly-country-club.gitbook.io/superwave/)
03:24:31	271894/271894	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Nov%202023%2021:54:31%20GMT	https://jolly-country-club.gitbook.io/superwave/users-manual/5.-warming-up	E:/Gitbook_sites/superwave/jolly-country-club.gitbook.io/superwave/users-manual/5.html	(from https://jolly-country-club.gitbook.io/superwave/)
03:24:32	260275/260275	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Nov%202023%2021:54:33%20GMT	https://jolly-country-club.gitbook.io/superwave/users-manual/6.-sending-schedules	E:/Gitbook_sites/superwave/jolly-country-club.gitbook.io/superwave/users-manual/6.html	(from https://jolly-country-club.gitbook.io/superwave/)
03:24:34	168997/168997	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Nov%202023%2021:54:34%20GMT	https://jolly-country-club.gitbook.io/superwave/users-manual/7.-bulk-upload	E:/Gitbook_sites/superwave/jolly-country-club.gitbook.io/superwave/users-manual/7.html	(from https://jolly-country-club.gitbook.io/superwave/)
03:24:38	1316/1316	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b8e24f3e01dad4562629f2448757bd00%22	https://app.gitbook.com/public/app/chunks/latex.lazy-AOATTS3K.min.js	E:/Gitbook_sites/superwave/app.gitbook.com/public/app/chunks/latex.lazy-AOATTS3K.min.js	(from https://jolly-country-club.gitbook.io/superwave/users-manual/1.-introduction-to-best-practices)
03:24:38	100907/100907	---M--	200	added ('OK')	image/png	etag:%22d2854570ab06f87e8ef4f0e35d7f9824%22	https://user-images.githubusercontent.com/132803070/236758520-177ed565-d861-4852-bdb0-6b60883e211d.png	E:/Gitbook_sites/superwave/user-images.githubusercontent.com/132803070/236758520-177ed565-d861-4852-bdb0-6b60883e211d.png	(from https://jolly-country-club.gitbook.io/superwave/users-manual/3.-submitting-your-email-addresses)
03:24:39	204584/204584	---M--	200	added ('OK')	image/png	etag:%2207d8d5c4cf338f8a4dc3a432bb2fa786%22	https://user-images.githubusercontent.com/132803070/236758841-110dc317-9cde-4a8d-8b49-5aaefe4c7750.png	E:/Gitbook_sites/superwave/user-images.githubusercontent.com/132803070/236758841-110dc317-9cde-4a8d-8b49-5aaefe4c7750.png	(from https://jolly-country-club.gitbook.io/superwave/users-manual/3.-submitting-your-email-addresses)
03:24:40	2708/2708	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e7561d296eb462d735fd2836f574a15e%22	https://app.gitbook.com/public/app/chunks/jsx.lazy-D7EVFIRM.min.js	E:/Gitbook_sites/superwave/app.gitbook.com/public/app/chunks/jsx.lazy-D7EVFIRM.min.js	(from https://jolly-country-club.gitbook.io/superwave/users-manual/4.-the-importance-of-writing-proper-emails)
